,pvals,direction,sig,logdiff
Atp2c1,0.015534895034120467,DOWN,2.859342858580023,-0.4696752397118924
Pgm5,0.0009318125190126231,UP,-4.479732440905056,1.5987481784903625
Amph,0.030063710134218307,UP,-2.489469930169238,2.219437479892331
Ccdc37,0.00048579247967806406,DOWN,4.88140647448527,-3.081719328657063
Tapt1,0.014143300424779334,DOWN,2.911804503019069,-0.5463859600714919
Wdr44,0.01884867053764267,DOWN,2.7512443878418456,-0.894517255282438
Klhl5,0.01292141179825964,DOWN,2.9623269895650335,-0.705490369874441
Mast4,0.002096811057737866,UP,-3.997030943653073,1.4169515704795625
Arhgap26,0.00544175146583717,UP,-3.4485708890329967,1.1380080522456066
Tatdn1,0.02593280189856609,DOWN,2.5725391954650694,-1.3570114925375438
Hsdl1,0.04435339120527595,DOWN,2.269411051293894,-1.0494168232647847
4930578C19Rik,0.00046215226198353617,DOWN,4.912752457815907,-5.044419981680319
Metap1,0.0015873518976545393,DOWN,4.160743764702134,-1.4587913316018426
Gimap5,0.008166460388124649,UP,-3.2194909436547112,0.9063978090721222
Tmem177,0.045538560674257454,DOWN,2.2543829878423347,-0.39739455144729346
Lrrc28,0.0027628874312761896,DOWN,3.8365623523498322,-1.111190294635126
Lpar6,0.002599245101400052,DOWN,3.8719354610034973,-0.8588447390435523
Fam55d,0.04988937108104968,DOWN,2.202253198829922,-1.696560789439526
Dpy19l1,0.03977657887344275,DOWN,2.331317694442619,-0.6081975127036817
Slc28a2,0.002841027320251865,UP,-3.820430201001824,1.5184960032947774
4930503L19Rik,0.009892532673338976,DOWN,3.111863117559869,-0.797893695720604
Podn,0.006935935695807379,UP,-3.311428039075992,1.6321844826724077
Mfsd7a,0.010547904953233597,DOWN,3.075916969354054,-1.2885897839296756
Amz1,0.022767898259425812,DOWN,2.645516358981709,-0.8382038093006016
Ticam2,0.04821602251018247,DOWN,2.221767980024822,-0.6503115699260361
Gpr97,0.04307020061933211,UP,-2.2861232618880534,2.0529458691829015
Lpcat2,0.025941300608441673,DOWN,2.572355297411355,-0.42508598693719585
D030016E14Rik,0.027130736783103217,DOWN,2.5471848381003044,-0.5933806283243946
Fam100b,0.012359635863370744,UP,-2.987189481861415,1.0456718021941493
Zfp944,0.019479287436347387,DOWN,2.732837385008831,-0.9921829428211738
Trim30b,0.017889897711994052,UP,-2.780437821817553,1.394505705027229
Chn1,0.034180336771116426,UP,-2.417127545456599,1.1426170996267355
Gpr4,0.0011486886481107646,UP,-4.353485892297322,1.9262888440823396
A2m,0.025852261083766537,UP,-2.5742849139684405,1.1473652230615674
Lypd6,0.021064157801391935,DOWN,2.6890688229401967,-1.152957463325278
Sycp2,3.118642761955169e-05,UP,-6.759245657181078,2.623428966870867
Relt,0.025932959143519743,UP,-2.572535792405716,1.07292818524762
Obfc1,0.04962890519175884,UP,-2.2052493129856527,0.4752483530007834
Ccdc122,0.009444608455269997,UP,-3.137845660971891,1.2237315229308146
Rnf169,0.03883872155038516,UP,-2.344848303842007,1.2120818821523258
Fam72a,0.015851914556126435,DOWN,2.8480506425681047,-1.170245453049023
Adamts9,4.561778563505503e-06,UP,-8.306312092373764,5.206141584193721
Mob3c,0.028400325454394106,UP,-2.5214864583442615,0.6169072852171342
Rab39,0.0030825559455947846,DOWN,3.7733249235331097,-0.9295043696733841
Wdfy2,0.01895290261860762,DOWN,2.748160131254803,-0.815084450086317
