Gene,F_P60_LPS 1,F_P60_LPS 2,F_P60_LPS 4,F_P60_LPS 5,F_P60_LPS 6,F_P60_Sal 1,F_P60_Sal 2,F_P60_Sal 3,F_P60_Sal 4,F_P60_Sal 5,F_P60_Sal 7,F_P60_LPS 3,F_P60_Sal 6
Tmem132e,0,0,0,1,0,0,0,0,0,0,0,0,0
Tmem86b,6,1,14,17,10,48,13,31,10,12,7,12,5
Ly6g6c,0,0,0,0,0,0,0,0,0,0,0,0,0
Ssna1,6,7,18,10,17,43,19,32,16,11,11,9,30
Ankra2,20,9,14,14,10,49,17,51,18,9,21,11,11
Serhl,39,32,23,46,52,114,45,93,29,19,52,32,44
Upk3a,0,0,0,0,0,0,0,0,0,0,0,0,0
Elac2,23,15,8,46,21,71,16,55,6,12,14,27,10
Fahd1,3,6,6,6,4,15,3,17,4,4,7,2,10
1110032A03Rik,24,77,45,56,56,128,36,101,29,11,52,22,106
Cml5,0,1,1,2,0,2,0,4,0,0,2,5,5
Elf2,140,71,119,175,203,276,80,247,87,81,88,108,48
Ing2,38,9,28,32,46,62,16,37,11,21,20,31,4
Nkx2-4,0,0,0,0,0,0,0,0,0,0,0,0,0
Pdcl2,0,0,0,0,0,0,0,0,0,1,0,0,0
Krtap3-1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mrps9,19,9,36,16,42,70,20,53,13,17,21,9,20
Pecr,25,6,15,18,16,57,15,37,15,16,13,4,21
